Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Mystore,Chrome 106.0.0.0,,,2022-10-16 20:21:56,2022-10-16 20:23:13,"1m - 17,194s",FAILED
,,,,,,,
Test Cases/LogIn,Chrome 106.0.0.0,,,2022-10-16 20:21:56,2022-10-16 20:22:17,"20,521s",PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2022-10-16 20:21:57,2022-10-16 20:22:00,"3,178s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 106.0.0.0,,,2022-10-16 20:22:00,2022-10-16 20:22:07,"7,338s",PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 106.0.0.0,,,2022-10-16 20:22:07,2022-10-16 20:22:12,"4,506s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email""), ""test.test@demo.it"")",Chrome 106.0.0.0,,,2022-10-16 20:22:12,2022-10-16 20:22:13,"1,010s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - My Store/input_Password_passwd""), ""p4y+y39Ir5Oy1MY8jPt0uQ=="")",Chrome 106.0.0.0,,,2022-10-16 20:22:13,2022-10-16 20:22:13,"0,494s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Sign in""))",Chrome 106.0.0.0,,,2022-10-16 20:22:13,2022-10-16 20:22:16,"2,570s",PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_My account - My Store/a_test test""), 0)",Chrome 106.0.0.0,,,2022-10-16 20:22:16,2022-10-16 20:22:16,"0,460s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_My account - My Store/span_test test""), ""test test"")",Chrome 106.0.0.0,,,2022-10-16 20:22:16,2022-10-16 20:22:17,"0,403s",PASSED
,,,,,,,
Test Cases/Ordine,Chrome 106.0.0.0,,,2022-10-16 20:22:17,2022-10-16 20:23:09,"51,780s",FAILED
"click(findTestObject(""Object Repository/Page_My account - My Store/a_T-shirts""))",Chrome 106.0.0.0,,,2022-10-16 20:22:17,2022-10-16 20:22:19,"2,260s",PASSED
"click(findTestObject(""Object Repository/Page_T-shirts - My Store/input_(1)_layered_id_attribute_group_3""))",Chrome 106.0.0.0,,,2022-10-16 20:22:19,2022-10-16 20:22:20,"0,515s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_T-shirts  Size L - My Store/a_Faded Short Sleeve T-shirts""), ""Faded Short Sleeve T-shirts"")",Chrome 106.0.0.0,,,2022-10-16 20:22:20,2022-10-16 20:22:22,"1,573s",PASSED
"verifyElementText(findTestObject(""Page_T-shirts  Size L - My Store/span_Importo""), ""$16.51"")",Chrome 106.0.0.0,,,2022-10-16 20:22:22,2022-10-16 20:22:22,"0,352s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_T-shirts  Size L - My Store/span_In stock""), 0)",Chrome 106.0.0.0,,,2022-10-16 20:22:22,2022-10-16 20:22:22,"0,365s",PASSED
"click(findTestObject(""Object Repository/Page_T-shirts  Size L - My Store/span_Add to cart""))",Chrome 106.0.0.0,,,2022-10-16 20:22:22,2022-10-16 20:22:23,"0,447s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_T-shirts  Size L - My Store/h2_Product successfully added to your shopp_45f75f""), 0)",Chrome 106.0.0.0,,,2022-10-16 20:22:23,2022-10-16 20:22:24,"1,554s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_T-shirts  Size L - My Store/span_Importo_1""), 0)",Chrome 106.0.0.0,,,2022-10-16 20:22:24,2022-10-16 20:22:25,"0,361s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_T-shirts  Size L - My Store/span_Faded Short Sleeve T-shirts""), 0)",Chrome 106.0.0.0,,,2022-10-16 20:22:25,2022-10-16 20:22:25,"0,332s",PASSED
"click(findTestObject(""Object Repository/Page_T-shirts  Size L - My Store/span_Proceed to checkout""))",Chrome 106.0.0.0,,,2022-10-16 20:22:25,2022-10-16 20:22:33,"8,304s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Order - My Store/a_Faded Short Sleeve T-shirts""), ""Faded Short Sleeve T-shirts"")",Chrome 106.0.0.0,,,2022-10-16 20:22:33,2022-10-16 20:22:34,"0,462s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Order - My Store/span_Importo""), ""$16.51"")",Chrome 106.0.0.0,,,2022-10-16 20:22:34,2022-10-16 20:22:34,"0,366s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Order - My Store/span_Totale""), ""$19.25"")",Chrome 106.0.0.0,,,2022-10-16 20:22:34,2022-10-16 20:22:34,"0,370s",PASSED
"click(findTestObject(""Object Repository/Page_Order - My Store/span_Proceed to checkout""))",Chrome 106.0.0.0,,,2022-10-16 20:22:34,2022-10-16 20:22:37,"2,705s",PASSED
"click(findTestObject(""Object Repository/Page_Order - My Store/span_Proceed to checkout""))",Chrome 106.0.0.0,,,2022-10-16 20:22:37,2022-10-16 20:23:09,"31,503s",FAILED
,,,,,,,
Test Cases/LogOut,Chrome 106.0.0.0,,,2022-10-16 20:23:09,2022-10-16 20:23:13,"4,536s",PASSED
"click(findTestObject(""Object Repository/Page_My account - My Store/a_Sign out""))",Chrome 106.0.0.0,,,2022-10-16 20:23:09,2022-10-16 20:23:12,"3,138s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Login - My Store/a_Sign in""), 0)",Chrome 106.0.0.0,,,2022-10-16 20:23:12,2022-10-16 20:23:13,"0,429s",PASSED
closeBrowser(),Chrome 106.0.0.0,,,2022-10-16 20:23:13,2022-10-16 20:23:13,"0,669s",PASSED
